Model,Params (M),Flops (GFLOPs),Memory (MB),Top-1 (\%)
AlexNet,61.10084,0.714691904,248.841088,56.522
SqueezeNet,1.248424,0.823440824,53.477312,58.092
MobileNet-V3-small,2.542856,0.059655296,34.666016,67.668
MNASNet0_5,2.218512,0.110586848,47.024928,67.734
ShuffleNet-V2,2.278604,0.148808392,38.248016,69.362
ResNet18,11.689512,1.819066368,78.880736,69.758
GoogLeNet,6.624904,1.504879712,79.46944,69.778
VGG11-BN,132.86884,7.631418368,627.020416,70.37
VGG13-BN,133.053736,11.345245184,685.562752,71.586
MobileNet-V2,3.504872,0.314130496,121.13728,71.878
ResNet34,21.797672,3.671263232,134.366176,73.314
VGG16-BN,138.365992,15.510957056,722.466688,73.36
MNASNet1_0,4.383312,0.325329152,84.974368,73.456
MobileNet-V3-large,5.483032,0.22604392,97.296736,74.042
VGG19-BN,143.678248,19.676668928,759.370624,74.218
DenseNet121,7.978856,2.865672192,197.203168,74.434
ResNet50,25.557032,4.111514624,251.367392,76.13
DenseNet201,20.013928,4.340971136,323.091168,76.896
Inception-V3,23.834568,5.731284192,215.221248,77.294
ResNet101,44.54916,7.833971712,395.575264,77.374
ResNet152,60.192808,11.558837248,542.445536,78.312
