Model,Flops (GFLOPs),Memory (MB),Top-1 (\%)
AlexNet,0.714691904,248.841088,56.522
SqueezeNet,0.823440824,53.477312,58.092
MobileNet-V3-small,0.059655296,34.666016,67.668
MNASNet0_5,0.110586848,47.024928,67.734
ShuffleNet-V2,0.148808392,38.248016,69.362
ResNet18,1.819066368,78.880736,69.758
GoogLeNet,1.504879712,79.46944,69.778
VGG11-BN,7.631418368,627.020416,70.37
VGG13-BN,11.345245184,685.562752,71.586
MobileNet-V2,0.314130496,121.13728,71.878
ResNet34,3.671263232,134.366176,73.314
VGG16-BN,15.510957056,722.466688,73.36
MNASNet1_0,0.325329152,84.974368,73.456
MobileNet-V3-large,0.22604392,97.296736,74.042
VGG19-BN,19.676668928,759.370624,74.218
DenseNet121,2.865672192,197.203168,74.434
ResNet50,4.111514624,251.367392,76.13
DenseNet201,4.340971136,323.091168,76.896
Inception-V3,5.731284192,215.221248,77.294
ResNet101,7.833971712,395.575264,77.374
ResNet152,11.558837248,542.445536,78.312
